Address,Zipcode,Date Sold,Sold Price,Bed,Bath,Square foot,SFR,Lot Size,Age of Building,Parks,SexualOffenders
4584 W Ellery Ave,93722,Aug-20,350000.0,5,3,2468,True," 8,119 ",16,0,163
9446 N Ashurst Dr,93720,Aug-20,580000.0,4,3,2505,True," 9,583 ",-1,4,31
1715 E Wallington Ln,93730,Aug-20,905000.0,4,3.5,3968,True, 0.32 a,-1,0,0
4504 N Valentine Ave #181,93722,Aug-20,135000.0,2,1,916,True, 888 ,-1,0,163
1561 E Salem Ave,93720,Aug-20,440000.0,4,3,2910,True," 9,513 ",30,4,31
10721 N Windham Bay Cir,93730,Aug-20,301000.0,3,2,1261,True," 4,200 ",-1,0,0
3177 W Spruce Ave,93711,Aug-20,330000.0,3,2.5,1747,True," 5,623 ",35,5,29
4284 N Dante Ave,93722,Aug-20,274000.0,3,2,1900,True," 6,000 ",34,0,163
2322 E Revere Rd,93720,Aug-20,404500.0,5,2.75,2378,True," 7,845 ",21,4,31
1138 W Lansing Way,93705,Aug-20,193000.0,2,1,808,True," 7,636 ",68,0,100
4894 E Pico Ave,93726,Aug-20,250000.0,4,2,1502,True," 6,616 ",53,8,94
2575 S Willow Ave #132,93725,Aug-20,79000.0,3,2,1248,True,-1,1,0,54
1340 W Dyer Ave,93711,Aug-20,279250.0,3,1.75,1090,True," 6,298 ",43,5,29
4061 N Van Ness Blvd,93704,Aug-20,512000.0,3,2,2234,True, 0.30 a,-1,2,93
6669 N Remington Ave,93704,Aug-20,402500.0,4,2.75,2499,True, 0.25 a,42,2,93
4061 N Van Ness Blvd,93704,Aug-20,512000.0,3,2,2234,True, 0.30 a,-1,2,93
5895 W Richert Ave,93722,Aug-20,339000.0,4,2,2119,True," 7,474 ",11,0,163
3210 W Illumination Dr,93711,Aug-20,280000.0,3,3,1413,True," 3,049 ",-1,5,29
10764 N Backer Ave,93730,Aug-20,876500.0,4,4,3534,True, 0.26 a,13,0,0
9238 N Jade Ave,93720,Aug-20,357500.0,4,2,2026,True," 5,967 ",19,4,31
4421 E Hedges Ave,93703,Aug-20,570000.0,12,6,4608,True," 10,497 ",53,3,92
7114 N Woodson Ave,93711,Aug-20,700000.0,5,3,3251,True, 0.52 a,50,5,29
4431 E Hedges Ave,93703,Aug-20,570000.0,12,6,4608,True,-1,-1,3,92
8153 N Cedar Ave #210,93720,Aug-20,200000.0,2,2,1111,True," 1,406 ",-1,4,31
2644 E Portland Ave,93720,Aug-20,423500.0,3,2,1858,True," 5,998 ",21,4,31
3513 W Vartikian Ave,93711,Aug-20,440000.0,4,3,2306,True," 7,866 ",28,5,29
5363 E Tower Ave,93725,Aug-20,308000.0,4,2,1773,True," 5,998 ",9,0,54
2174 N Antioch Ave,93722,Aug-20,250000.0,3,2,1231,True," 4,791 ",26,0,163
6625 N Forkner Ave,93711,Aug-20,585000.0,5,3.5,3768,True, 0.47 a,50,5,29
2038 E Axelson Dr,93730,Aug-20,355000.0,2,2,1141,True," 3,049 ",-1,0,0
5375 E White Ave,93727,Aug-20,320000.0,4,1.75,1960,True, 0.37 a,68,7,103
6372 N Sharon Ave,93710,Aug-20,365000.0,4,3,2420,True," 10,367 ",50,4,60
821 W Pontiac Way,93705,Aug-20,240000.0,3,1.75,1124,True," 6,499 ",60,0,100
7427 N Sierra Vista Ave,93720,Aug-20,420000.0,4,2,2238,True," 8,698 ",22,4,31
2380 S Sabre Ave,93727,Aug-20,293500.0,4,2,1486,True," 8,001 ",12,7,103
3016 N 1st St,93703,Aug-20,550000.0,12,8,6052,True, 0.42 a,65,3,92
5451 E Saginaw Way,93727,Aug-20,279000.0,3,2,1330,True, 0.34 a,61,7,103
2326 E Minarets Ave,93720,Aug-20,555000.0,4,3,2736,True," 8,450 ",21,4,31
5924 W San Gabriel Ave,93722,Aug-20,270000.0,3,2,1565,True," 6,298 ",15,0,163
6326 W Robinwood Ln,93723,Aug-20,330000.0,3,2,1712,True," 8,276 ",10,0,0
6793 W Fallon Ave,93722,Aug-20,335000.0,3,2,1697,True," 4,950 ",3,0,163
2825 E Harvard Ave,93703,Aug-20,640000.0,13,9,6602,True, 0.37 a,67,3,92
6905 E Lane Ave,93727,Aug-20,315000.0,3,2,1662,True, 0.32 a,44,7,103
4731 N Orchard St,93726,Aug-20,260000.0,3,2,1670,True," 7,405 ",60,8,94
4634 E Cambridge Ave #103,93703,Aug-20,101000.0,2,2,988,True, 988 ,-1,3,92
882 E Newcastle Ln,93720,Aug-20,395000.0,3,2,1682,True," 6,120 ",-1,4,31
5109 W Hunter Ave,93722,Aug-20,322000.0,4,2,2153,True," 6,586 ",13,0,163
6528 E El Monte Way,93727,Aug-20,299950.0,4,2,1743,True," 5,998 ",13,7,103
1726 N Wishon Ave,93704,Aug-20,325000.0,2,3,1564,True," 4,900 ",84,2,93
6658 E Braly Ave,93727,Aug-20,305000.0,3,2.5,1539,True," 5,749 ",13,7,103
4743 N Callisch St,93726,Aug-20,330000.0,4,1.75,2054,True," 8,398 ",60,8,94
2248 N Cecelia Ave,93722,Aug-20,270000.0,3,2,1658,True," 5,998 ",28,0,163
623 W Bullard Ave,93704,Aug-20,320000.0,3,2,1950,True, 0.27 a,58,2,93
1045 W Harvard Ave,93705,Aug-20,275000.0,3,2,1683,True," 8,293 ",66,0,100
6145 E Peruna Way,93727,Aug-20,280000.0,3,2.75,1512,True," 2,556 ",-1,7,103
5370 W Flint Way,93722,Aug-20,333000.0,4,3,2615,True," 6,281 ",21,0,163
5823 W Ashcroft Ave,93722,Aug-20,280000.0,3,2,1457,True," 8,102 ",11,0,163
7166 N Fruit Ave #149,93711,Aug-20,181995.0,2,1.5,1224,True," 1,006 ",-1,5,29
6062 N Spalding Ave,93710,Aug-20,338000.0,3,2,1861,True," 7,701 ",52,4,60
5769 E Hampton Way,93727,Aug-20,279000.0,3,2,1491,True," 10,890 ",60,7,103
2254 S Orangewood Dr,93727,Aug-20,290000.0,3,2,1522,True," 5,998 ",9,7,103
1446 E Calwa Ave,93706,Aug-20,196144.0,4,2,1164,True," 6,873 ",66,0,176
1820 E California Ave,93706,Aug-20,130000.0,3,1,1572,True," 6,250 ",88,0,176
4536 W Princeton Ave,93722,Aug-20,260000.0,3,2,1478,True," 6,098 ",33,0,163
3627 E Pine Ave,93703,Aug-20,230000.0,3,2.5,1390,True," 7,501 ",67,3,92
4718 E Alamos Ave #103,93726,Aug-20,180000.0,3,2,1649,True," 1,598 ",-1,8,94
2448 W Stuart Ave,93711,Aug-20,750000.0,3,2.75,2953,True, 0.48 a,53,5,29
1389 E Brandywine Ln,93720,Aug-20,620000.0,3,4,2426,True, 0.66 a,55,4,31
8484 N Ann Ave,93720,Aug-20,456000.0,4,3,2290,True," 9,583 ",16,4,31
214 W San Jose Ave,93704,Aug-20,330000.0,3,3,2052,True, 0.26 a,61,2,93
1325 E Via Roma Dr,93730,Aug-20,699000.0,5,3,3414,True," 6,899 ",-1,0,0
6567 E Platt Ave,93727,Aug-20,293000.0,5,2,1830,True," 6,298 ",17,7,103
8292 N Ann Ave,93720,Aug-20,615500.0,4,3,3430,True," 8,777 ",17,4,31
2035 E Palo Alto Ave,93710,Aug-20,325000.0,3,1.75,1834,True," 9,178 ",43,4,60
2572 E Portland Ave,93720,Aug-20,350000.0,3,2,1858,True," 5,998 ",21,4,31
214 W San Jose Ave,93704,Aug-20,330000.0,3,3,2052,True, 0.26 a,61,2,93
1151 S Chestnut Ave #239,93702,Aug-20,90000.0,2,2,1013,True," 1,219 ",-1,2,101
2031 E Cromwell Ave,93720,Aug-20,340000.0,3,3,1717,True," 6,534 ",31,4,31
1151 S Chestnut Ave #116,93702,ug-20,70000.0,1,1,590,False, 653 ,-1,2,101
6757 N Constance Ave,93722,ug-20,280000.0,3,2,1474,True," 4,281 ",27,0,163
6040 N Stockdale Dr,93722,ug-20,375000.0,4,2,2064,True," 8,049 ",-1,0,163
6335 N Spalding Ave,93710,ug-20,300000.0,4,2,1796,True," 6,098 ",49,4,60
430 N Claremont Ave,93727,ug-20,287000.0,4,2,1993,True," 6,599 ",33,7,103
8632 N Sierra Vista Ave,93720,ug-20,337250.0,3,2,1476,True," 6,969 ",27,4,31
