Title,Title_link,Thumbnail,Box-sc-8ox7qa-0,Text__TextBase-sc-1i9uasc-0-div,Text__TextBase-sc-1i9uasc-0-div1,Text__TextBase-sc-1i9uasc-0-div2,Text__TextBase-sc-1i9uasc-0-div3,SSeMC,Padding-sc-1d43y5s-01,cERLyX,Field2,Field3
4584 W Ellery Ave,https://www.trulia.com/p/ca/fresno/4584-w-ellery-ave-fresno-ca-93722--2117027838,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",21-Aug-20,"$350,000 ",5bd,3ba,"2,468 sqft","2,468 sqft","Bullard, Fresno, CA",3ba,"Lot Size: 8,119 sqft",Built in 2004
9446 N Ashurst Dr,https://www.trulia.com/p/ca/fresno/9446-n-ashurst-dr-fresno-ca-93720--2117015636,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$580,000 ",4bd,3ba,"2,505 sqft","2,505 sqft","Woodward Park, Fresno, CA",3ba,"Lot Size: 9,583 sqft",$40/monthly HOA
1715 E Wallington Ln,https://www.trulia.com/p/ca/fresno/1715-e-wallington-ln-fresno-ca-93730--2117089288,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$905,000 ",4bd,3.5ba,"3,968 sqft","3,968 sqft","Woodward Park, Fresno, CA",3.5ba,Lot Size: 0.32 acres,$125/monthly HOA
4504 N Valentine Ave #181,https://www.trulia.com/p/ca/fresno/4504-n-valentine-ave-181-fresno-ca-93722--2117027121,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$135,000 ",2bd,1ba,916 sqft,916 sqft,"Bullard, Fresno, CA",1ba,Lot Size: 888 sqft,$288/monthly HOA
1561 E Salem Ave,https://www.trulia.com/p/ca/fresno/1561-e-salem-ave-fresno-ca-93720--2117002608,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$440,000 ",4bd,3ba,"2,910 sqft","2,910 sqft","Woodward Park, Fresno, CA",3ba,"Lot Size: 9,513 sqft",Built in 1990
10721 N Windham Bay Cir,https://www.trulia.com/p/ca/fresno/10721-n-windham-bay-cir-fresno-ca-93730--2117087901,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$301,000 ",3bd,2ba,"1,261 sqft","1,261 sqft","Woodward Park, Fresno, CA",2ba,"Lot Size: 4,200 sqft",$187/monthly HOA
3177 W Spruce Ave,https://www.trulia.com/p/ca/fresno/3177-w-spruce-ave-fresno-ca-93711--2116992408,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$330,000 ",3bd,2.5ba,"1,747 sqft","1,747 sqft","Bullard, Fresno, CA",2.5ba,"Lot Size: 5,623 sqft",Built in 1985
4284 N Dante Ave,https://www.trulia.com/p/ca/fresno/4284-n-dante-ave-fresno-ca-93722--2117025431,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$274,000 ",3bd,2ba,"1,900 sqft","1,900 sqft","West, Fresno, CA",2ba,"Lot Size: 6,000 sqft",Built in 1986
2322 E Revere Rd,https://www.trulia.com/p/ca/fresno/2322-e-revere-rd-fresno-ca-93720--2117005509,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$404,500 ",5bd,2.75ba,"2,378 sqft","2,378 sqft","Woodward Park, Fresno, CA",2.75ba,"Lot Size: 7,845 sqft",Built in 1999
1138 W Lansing Way,https://www.trulia.com/p/ca/fresno/1138-w-lansing-way-fresno-ca-93705--2116958550,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$193,000 ",2bd,1ba,808 sqft,808 sqft,"Fresno High Roeding, Fresno, CA",1ba,"Lot Size: 7,636 sqft",Built in 1952
