Address,Zipcode,Date Sold,Sold Price,Bed,Bath,Square foot,SFR,Lot Size,Age of Building
4584 W Ellery Ave,93722,Aug-20,350000,5,3.0,2468,True,"8,119",16
9446 N Ashurst Dr,93720,Aug-20,580000,4,3.0,2505,True,"9,583",2021
1715 E Wallington Ln,93730,Aug-20,905000,4,3.5,3968,True,0.32 a,2021
4504 N Valentine Ave #181,93722,Aug-20,135000,2,1.0,916,True,888,2021
1561 E Salem Ave,93720,Aug-20,440000,4,3.0,2910,True,"9,513",30
10721 N Windham Bay Cir,93730,Aug-20,301000,3,2.0,1261,True,"4,200",2021
3177 W Spruce Ave,93711,Aug-20,330000,3,2.5,1747,True,"5,623",35
4284 N Dante Ave,93722,Aug-20,274000,3,2.0,1900,True,"6,000",34
2322 E Revere Rd,93720,Aug-20,404500,5,2.75,2378,True,"7,845",21
1138 W Lansing Way,93705,Aug-20,193000,2,1.0,808,True,"7,636",68
4894 E Pico Ave,93726,Aug-20,250000,4,2.0,1502,True,"6,616",53
2575 S Willow Ave #132,93725,Aug-20,79000,3,2.0,1248,True,-1,1
1340 W Dyer Ave,93711,Aug-20,279250,3,1.75,1090,True,"6,298",43
4061 N Van Ness Blvd,93704,Aug-20,512000,3,2.0,2234,True,0.30 a,2021
6669 N Remington Ave,93704,Aug-20,402500,4,2.75,2499,True,0.25 a,42
4061 N Van Ness Blvd,93704,Aug-20,512000,3,2.0,2234,True,0.30 a,2021
5895 W Richert Ave,93722,Aug-20,339000,4,2.0,2119,True,"7,474",11
3210 W Illumination Dr,93711,Aug-20,280000,3,3.0,1413,True,"3,049",2021
10764 N Backer Ave,93730,Aug-20,876500,4,4.0,3534,True,0.26 a,13
9238 N Jade Ave,93720,Aug-20,357500,4,2.0,2026,True,"5,967",19
4421 E Hedges Ave,93703,Aug-20,570000,12,6.0,4608,True,"10,497",53
7114 N Woodson Ave,93711,Aug-20,700000,5,3.0,3251,True,0.52 a,50
4431 E Hedges Ave,93703,Aug-20,570000,12,6.0,4608,True,-1,2021
8153 N Cedar Ave #210,93720,Aug-20,200000,2,2.0,1111,True,"1,406",2021
2644 E Portland Ave,93720,Aug-20,423500,3,2.0,1858,True,"5,998",21
3513 W Vartikian Ave,93711,Aug-20,440000,4,3.0,2306,True,"7,866",28
5363 E Tower Ave,93725,Aug-20,308000,4,2.0,1773,True,"5,998",9
2174 N Antioch Ave,93722,Aug-20,250000,3,2.0,1231,True,"4,791",26
