Address,Zipcode,Date Sold,Sold Price,Bed,Bath,Square foot,SFR,Lot Size,Age of Building
4584 W Ellery Ave,93722,Aug-20,"350,000",5,3,"2,468",TRUE,"8,119",16
9446 N Ashurst Dr,93720,Aug-20,"580,000",4,3,"2,505",TRUE,"9,583",2021
1715 E Wallington Ln,93730,Aug-20,"905,000",4,3.5,"3,968",TRUE,0.32 a,2021
4504 N Valentine Ave #181,93722,Aug-20,"135,000",2,1,916,TRUE,888,2021
1561 E Salem Ave,93720,Aug-20,"440,000",4,3,"2,910",TRUE,"9,513",30
10721 N Windham Bay Cir,93730,Aug-20,"301,000",3,2,"1,261",TRUE,"4,200",2021
3177 W Spruce Ave,93711,Aug-20,"330,000",3,2.5,"1,747",TRUE,"5,623",35
4284 N Dante Ave,93722,Aug-20,"274,000",3,2,"1,900",TRUE,"6,000",34
2322 E Revere Rd,93720,Aug-20,"404,500",5,2.75,"2,378",TRUE,"7,845",21
1138 W Lansing Way,93705,Aug-20,"193,000",2,1,808,TRUE,"7,636",68
4894 E Pico Ave,93726,Aug-20,"250,000",4,2,"1,502",TRUE,"6,616",53
2575 S Willow Ave #132,93725,Aug-20,"79,000",3,2,"1,248",TRUE,-1,1
1340 W Dyer Ave,93711,Aug-20,"279,250",3,1.75,"1,090",TRUE,"6,298",43
4061 N Van Ness Blvd,93704,Aug-20,"512,000",3,2,"2,234",TRUE,0.30 a,2021
6669 N Remington Ave,93704,Aug-20,"402,500",4,2.75,"2,499",TRUE,0.25 a,42
4061 N Van Ness Blvd,93704,Aug-20,"512,000",3,2,"2,234",TRUE,0.30 a,2021
5895 W Richert Ave,93722,Aug-20,"339,000",4,2,"2,119",TRUE,"7,474",11
3210 W Illumination Dr,93711,Aug-20,"280,000",3,3,"1,413",TRUE,"3,049",2021
10764 N Backer Ave,93730,Aug-20,"876,500",4,4,"3,534",TRUE,0.26 a,13
9238 N Jade Ave,93720,Aug-20,"357,500",4,2,"2,026",TRUE,"5,967",19
4421 E Hedges Ave,93703,Aug-20,"570,000",12,6,"4,608",TRUE,"10,497",53
7114 N Woodson Ave,93711,Aug-20,"700,000",5,3,"3,251",TRUE,0.52 a,50
4431 E Hedges Ave,93703,Aug-20,"570,000",12,6,"4,608",TRUE,-1,2021
8153 N Cedar Ave #210,93720,Aug-20,"200,000",2,2,"1,111",TRUE,"1,406",2021
2644 E Portland Ave,93720,Aug-20,"423,500",3,2,"1,858",TRUE,"5,998",21
3513 W Vartikian Ave,93711,Aug-20,"440,000",4,3,"2,306",TRUE,"7,866",28
5363 E Tower Ave,93725,Aug-20,"308,000",4,2,"1,773",TRUE,"5,998",9
2174 N Antioch Ave,93722,Aug-20,"250,000",3,2,"1,231",TRUE,"4,791",26
6625 N Forkner Ave,93711,Aug-20,"585,000",5,3.5,"3,768",TRUE,0.47 a,50
2038 E Axelson Dr,93730,Aug-20,"355,000",2,2,"1,141",TRUE,"3,049",2021
5375 E White Ave,93727,Aug-20,"320,000",4,1.75,"1,960",TRUE,0.37 a,68
6372 N Sharon Ave,93710,Aug-20,"365,000",4,3,"2,420",TRUE,"10,367",50
821 W Pontiac Way,93705,Aug-20,"240,000",3,1.75,"1,124",TRUE,"6,499",60
7427 N Sierra Vista Ave,93720,Aug-20,"420,000",4,2,"2,238",TRUE,"8,698",22
2380 S Sabre Ave,93727,Aug-20,"293,500",4,2,"1,486",TRUE,"8,001",12
3016 N 1st St,93703,Aug-20,"550,000",12,8,"6,052",TRUE,0.42 a,65
5451 E Saginaw Way,93727,Aug-20,"279,000",3,2,"1,330",TRUE,0.34 a,61
2326 E Minarets Ave,93720,Aug-20,"555,000",4,3,"2,736",TRUE,"8,450",21
5924 W San Gabriel Ave,93722,Aug-20,"270,000",3,2,"1,565",TRUE,"6,298",15
6326 W Robinwood Ln,93723,Aug-20,"330,000",3,2,"1,712",TRUE,"8,276",10
6793 W Fallon Ave,93722,Aug-20,"335,000",3,2,"1,697",TRUE,"4,950",3
2825 E Harvard Ave,93703,Aug-20,"640,000",13,9,"6,602",TRUE,0.37 a,67
6905 E Lane Ave,93727,Aug-20,"315,000",3,2,"1,662",TRUE,0.32 a,44
4731 N Orchard St,93726,Aug-20,"260,000",3,2,"1,670",TRUE,"7,405",60
4634 E Cambridge Ave #103,93703,Aug-20,"101,000",2,2,988,TRUE,988,2021
